CaseID,WEIGHT,PROVINCP,PCRUR,PCSIZEP,TYPDWELP,TENURYRP,RPINCTOT,RPMARP,RPAGEGRP,RPSEX,RPWEEKFT,RPWEEKPT,RPHIGHED,RPDISABL,SPINCTOT,SPAGEGRP,SPSEXP,SPWEEKFT,SPWEEKPT,SPHIGHED,SPDISABL,HHTYPEP,CH04TOIP,NMCH0517,NMYT1824,NMAD2564,SE65TOIP,HHSZTOTP,AGEYOUNP,NUMFTP,NUMPTP,HHINCTOT,TOTEXP
766.0,2270.0,59.0,1.0,1.0,1.0,1.0,12000.0,1.0,11.0,1.0,0.0,0.0,2.0,0.0,12000.0,9.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,4.0,99.0,2.0,0.0,84000.0,33835.0
767.0,2641.0,24.0,1.0,2.0,1.0,2.0,85000.0,3.0,5.0,1.0,52.0,0.0,2.0,0.0,,,,,,,,5.0,0.0,2.0,0.0,1.0,0.0,3.0,13.0,1.0,0.0,85000.0,58409.0
768.0,317.0,13.0,2.0,3.0,1.0,1.0,32000.0,3.0,11.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,32000.0,31346.0
770.0,398.0,47.0,2.0,3.0,5.0,3.0,34000.0,3.0,8.0,1.0,52.0,0.0,1.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,34000.0,21097.0
771.0,785.0,48.0,1.0,1.0,1.0,1.0,44000.0,1.0,10.0,1.0,0.0,0.0,5.0,0.0,17000.0,10.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,99.0,0.0,0.0,61000.0,51224.0
772.0,20.0,60.0,1.0,2.0,5.0,3.0,90000.0,2.0,2.0,2.0,52.0,0.0,7.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,0.0,90000.0,35615.0
774.0,3862.0,35.0,1.0,2.0,5.0,3.0,19000.0,3.0,7.0,2.0,0.0,52.0,8.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,0.0,1.0,19000.0,19133.0
777.0,22.0,10.0,1.0,1.0,5.0,3.0,34000.0,3.0,5.0,1.0,52.0,0.0,2.0,0.0,,,,,,,,5.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,34000.0,33238.0
779.0,262.0,12.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,7.0,0.0,89000.0,4.0,1.0,52.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,12.0,1.0,0.0,89000.0,56510.0
780.0,1488.0,24.0,1.0,1.0,1.0,2.0,130000.0,1.0,9.0,1.0,52.0,0.0,8.0,1.0,7400.0,9.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,99.0,1.0,0.0,140000.0,93783.0
781.0,1551.0,59.0,1.0,2.0,1.0,1.0,17000.0,3.0,10.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,99.0,0.0,0.0,17000.0,25722.0
782.0,3830.0,24.0,1.0,1.0,1.0,2.0,45000.0,1.0,5.0,2.0,52.0,0.0,5.0,0.0,43000.0,4.0,1.0,52.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,4.0,17.0,2.0,0.0,100000.0,63465.0
